Cellulose(wt%),Hemicellulose(wt%),Lignin(wt%),Pyrolysis temperature (°C),HeatingRate(°C/min),N2 flow rate (mL/min),ParticleSize(mm),ParticleSize(μm),bio-liquid yield(wt%)
38.0,27.5,21.0,350,10,120,0.85,850,31.8
41.2,25.3,20.4,375,15,140,0.72,720,34.6
43.5,24.1,19.8,410,20,150,0.60,600,39.7
46.0,22.0,18.5,440,25,180,0.50,500,43.2
48.5,20.2,17.6,470,30,200,0.42,420,47.6
50.1,19.5,16.9,500,35,220,0.35,350,51.4
52.2,18.0,16.2,525,40,240,0.30,300,54.1
49.4,21.1,17.8,550,45,260,0.28,280,53.5
47.0,22.8,18.6,575,50,280,0.25,250,50.2
44.8,24.3,20.0,600,55,300,0.22,220,46.8
42.7,25.6,21.4,625,60,320,0.20,200,42.9
40.5,27.0,22.2,650,65,340,0.18,180,38.4
45.0,23.0,18.9,480,20,180,0.45,450,48.3
51.5,18.8,16.5,515,28,210,0.38,380,52.7
53.0,17.5,15.8,535,32,230,0.32,320,55.4
46.8,22.5,19.1,565,38,250,0.29,290,51.1
39.5,28.0,22.8,390,18,160,0.68,680,35.9
43.8,24.8,20.3,610,58,310,0.21,210,44.1
